baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
XM_006256132.4	40.5501967995393	8.83778531759478	2.47324504518795	3.57335611964126	0.000352434931969143	0.0432039417441586	XM_006256132	NA	NA	NA
XM_006256603.4	7.65708038355837	6.43455627023882	1.6401854465486	3.92306631166549	8.7429074845266e-05	0.0172132246548892	XM_006256603	NA	NA	NA
XM_006257105.4	165.024000349673	0.752993505064782	0.176927387721705	4.25594654824832	2.08166438962187e-05	0.00650926435929142	XM_006257105	NA	NA	NA
XM_006257333.4	21.5720011316965	7.92773109253618	1.6603684914196	4.77468172487303	1.79991687300226e-06	0.00104792052946102	XM_006257333	NA	NA	NA
XM_008760299.3	20.7258354005915	7.87011554495815	2.11639521847743	3.71864171504793	0.000200296911066762	0.0297262984206036	XM_008760299	NA	NA	NA
XM_008761779.3	60.7929770692128	1.19338755877179	0.331547285226833	3.59944904376254	0.000318892111773741	0.0409285889568915	XM_008761779	NA	NA	NA
XM_008761905.3	222.157178465697	1.104504227098	0.311871690081311	3.54153410593324	0.000397807426455938	0.0466160149390471	XM_008761905	NA	NA	NA
XM_008762028.3	8.84078743051737	6.64662266231903	0.992624961844636	6.69600596177568	2.14192988312717e-11	4.75283374892604e-08	XM_008762028	NA	NA	NA
XM_008762031.3	13.1270667022058	6.03235370519517	1.65562766280754	3.64354488675659	0.000268908730641034	0.0366530748613143	XM_008762031	NA	NA	NA
XM_008764236.3	32.0452192219557	8.49555722844989	1.80896361487065	4.69636711242385	2.64829390094642e-06	0.0013663509523638	XM_008764236	NA	NA	NA
XM_008764819.3	27.0476680328666	22.2579113540556	3.02751229884766	7.35188139864119	1.95436186949738e-13	7.37330616953591e-10	XM_008764819	NA	NA	NA
XM_008767469.2	25.0680935903001	22.1496887218675	3.02761451081315	7.3158880176983	2.55684823747175e-13	8.30606354655127e-10	XM_008767469	NA	NA	NA
XM_008767997.3	87.7712968908472	2.330696249966	0.605034006118574	3.85217397104326	0.000117073796498596	0.0210639174660273	XM_008767997	NA	NA	NA
XM_008772897.3	412.2445570148	0.558013525198395	0.156259237761712	3.5710754333087	0.000355518477616575	0.0433095572086492	XM_008772897	NA	NA	NA
XM_008773425.3	7.19239578406175	6.34113557704409	1.09209235346785	5.8064096474152	6.38266901348328e-09	8.29378195320936e-06	XM_008773425	NA	NA	NA
XM_008773696.3	13.8433200564936	7.28783202391254	1.85010790712015	3.93913889879898	8.1774579841729e-05	0.0162382553991959	XM_008773696	NA	NA	NA
XM_017590971.2	3.82195958792791	5.42974102053544	1.53032385642169	3.54809931097307	0.000388021887408286	0.0460227015097609	XM_017590971	NA	NA	NA
XM_017591201.2	9.255083597585	6.70553050581106	1.60978272051052	4.16548793844953	3.1068735005567e-05	0.00841070930886817	XM_017591201	NA	NA	NA
XM_017592195.2	171.825481260532	1.23190753130764	0.327153556680406	3.76553305367573	0.000166194134617407	0.0261237522247802	XM_017592195	NA	NA	NA
XM_017592315.2	26.0780019455934	8.20092100699635	2.10224897962854	3.90102270780763	9.57871643681636e-05	0.0183641267188984	XM_017592315	NA	NA	NA
XM_017595094.2	59.6894856292711	8.23737519785348	2.29056398466546	3.59622139045226	0.000322873041255686	0.0410474022640649	XM_017595094	NA	NA	NA
XM_017595756.2	167.979546545261	0.803368198982316	0.208976433002561	3.84430046699319	0.00012089680604697	0.0215489570795421	XM_017595756	NA	NA	NA
XM_017595947.2	39.2303563117897	8.79005632386405	2.49956469896726	3.51663484745797	0.000437054590728765	0.0488648759814031	XM_017595947	NA	NA	NA
XM_017596120.2	289.4508622755	0.555902633412899	0.0974351546928644	5.70535999214265	1.16097453643122e-08	1.44440053283572e-05	XM_017596120	NA	NA	NA
XM_017596786.2	201.618649689942	1.11595826426273	0.295734168724465	3.77351818721519	0.000160961479479729	0.0257160151669335	XM_017596786	NA	NA	NA
XM_017597262.2	46.9765030133846	7.890714056973	1.83692997396748	4.29559872657002	1.74222478868559e-05	0.00562844487809953	XM_017597262	NA	NA	NA
XM_017599109.2	7.61068433839102	6.41000560285184	1.15912599491392	5.53003351747611	3.20169607256306e-08	3.46696252124171e-05	XM_017599109	NA	NA	NA
XM_017600166.2	31.5839473498776	5.70268616828806	1.62213767839109	3.51553770327575	0.000438864440340143	0.0489735864207052	XM_017600166	NA	NA	NA
XM_017600897.2	25.192259105832	7.56904488998667	1.89609282142595	3.99191685367723	6.55413545463135e-05	0.0138857433541345	XM_017600897	NA	NA	NA
XM_017601011.2	16.8195093060028	7.56766014112119	1.6582472022073	4.56365017896477	5.02718188953554e-06	0.00231464121109214	XM_017601011	NA	NA	NA
XM_017601804.2	300.725172486501	1.23000731507908	0.317669932781129	3.87196642852108	0.0001079608247535	0.0199546873523596	XM_017601804	NA	NA	NA
XM_039078892.1	260.0688753521	0.676094989428669	0.179869623767089	3.75880582429047	0.000170726267499997	0.0267642031254554	XM_039078892	NA	NA	NA
XM_039078959.1	78.5513597869654	1.05896387349153	0.208054266629543	5.08984454222753	3.58357179306026e-07	0.000275696090885592	XM_039078959	NA	NA	NA
XM_039079598.1	13.9745753344153	7.30009563120119	1.74421869376508	4.18530982226957	2.84777409312131e-05	0.00812296304005735	XM_039079598	NA	NA	NA
XM_039079648.1	6.3421055417739	6.1582390099222	1.57753694706157	3.90370509000943	9.47312031353884e-05	0.018221422276772	XM_039079648	NA	NA	NA
XM_039079973.1	43.5866827573818	0.689601371493859	0.192029539809997	3.59112130444191	0.000329258334188191	0.0415832652987479	XM_039079973	NA	NA	NA
XM_039080463.1	1459.37856930039	0.569154767607724	0.149040183490186	3.81880077090219	0.000134102010154843	0.0228427842249628	XM_039080463	NA	NA	NA
XM_039080560.1	130.498348492855	0.977306908695951	0.254473953030647	3.84049878998128	0.000122784577580832	0.0217566829983685	XM_039080560	NA	NA	NA
XM_039081488.1	5.23057165240348	5.88355353952304	1.2681991098769	4.63929795700151	3.49594723071436e-06	0.0017323899861762	XM_039081488	NA	NA	NA
XM_039081750.1	54.1545650722397	1.30278060208804	0.355136339129692	3.66839565131711	0.00024407727276687	0.0343081116532932	XM_039081750	NA	NA	NA
XM_039083305.1	26.7853572308553	22.2451192001673	3.02752324273602	7.34762953630177	2.01752742607953e-13	7.37330616953591e-10	XM_039083305	NA	NA	NA
XM_039083820.1	125.712616218477	0.665924808108357	0.153059840627128	4.35074808244854	1.35673856240404e-05	0.00472225777964367	XM_039083820	NA	NA	NA
XM_039084903.1	2.54407348421077	4.84661636821403	1.31800057425619	3.67724905654855	0.000235762823710278	0.0336243789113044	XM_039084903	NA	NA	NA
XM_039085426.1	535.067522355034	0.531816506913452	0.149952154608438	3.54657462776814	0.000390274187405771	0.04619613934082	XM_039085426	NA	NA	NA
XM_039088217.1	281.40522216439	0.797590706449536	0.159156428677664	5.01136343078467	5.40457330385126e-07	0.000371796493375763	XM_039088217	NA	NA	NA
XM_039088224.1	174.29908970529	0.509096893992042	0.117270188581724	4.34123028323825	1.41687129244279e-05	0.00484503695639178	XM_039088224	NA	NA	NA
XM_039088276.1	38.8901185594853	22.7658755211215	3.02710844454417	7.5206673094758	5.44973638778232e-14	2.45129142722449e-10	XM_039088276	NA	NA	NA
XM_039089025.1	36.4912574236717	8.68496122096124	2.34047416658943	3.71076995633628	0.000206629814164549	0.0304344376661406	XM_039089025	NA	NA	NA
XM_039089353.1	988.905451809796	1.16807556232047	0.264005814922927	4.42443119164429	9.66967165301903e-06	0.00374453231946116	XM_039089353	NA	NA	NA
XM_039090129.1	25.9975764908043	22.2014726498594	3.02756556782363	7.33311043229327	2.2487148721861e-13	7.73478549624763e-10	XM_039090129	NA	NA	NA
XM_039090901.1	5.20904825104127	5.87124595861795	1.6514145311882	3.55528296968148	0.000377572506386524	0.045252860100155	XM_039090901	NA	NA	NA
XM_039091098.1	13.8204223978658	1.69092192335545	0.436532151115538	3.8735335279071	0.000107268641438532	0.0199124652046879	XM_039091098	NA	NA	NA
XM_039091315.1	48.8582285736787	1.2385095463398	0.25945232582584	4.77355345494632	1.81003477572192e-06	0.00104792052946102	XM_039091315	NA	NA	NA
XM_039091323.1	20.9007221845333	5.11728188994178	1.29922862113199	3.93870778915199	8.19216291473612e-05	0.0162382553991959	XM_039091323	NA	NA	NA
XM_039092150.1	191.400993179032	0.78529687059734	0.202593753924695	3.8762146185871	0.000106094112382375	0.0198041798766463	XM_039092150	NA	NA	NA
XM_039092397.1	130.23887406921	0.649810424282341	0.175253598830583	3.70782927493837	0.000209043507374574	0.0307125880658815	XM_039092397	NA	NA	NA
XM_039092734.1	13.2129845616349	7.22179769645393	1.62084534471552	4.45557481470968	8.36687108341681e-06	0.00332819333150826	XM_039092734	NA	NA	NA
XM_039093103.1	8.33508587675497	6.55415492484549	1.59827382415114	4.10077098542639	4.11775922770304e-05	0.0102898227812268	XM_039093103	NA	NA	NA
XM_039093324.1	8.7661906691709	2.5472944496251	0.712372866370187	3.57578814393162	0.000349174343085944	0.0430751488135179	XM_039093324	NA	NA	NA
XM_039094191.1	3.72111809804084	5.37961663696942	1.11289818600642	4.83388031772602	1.33897104009727e-06	0.000798928495904571	XM_039094191	NA	NA	NA
XM_039094445.1	59.4239776821466	4.78889235066559	0.855443102606054	5.59814245515163	2.16660690798167e-08	2.43634946802538e-05	XM_039094445	NA	NA	NA
XM_039094844.1	21.7333714574569	6.76755097202457	1.66635719620148	4.06128469181244	4.88034145876998e-05	0.0116005319699234	XM_039094844	NA	NA	NA
XM_039095267.1	61.7971587821813	1.36352441071225	0.380799642194252	3.58068721613108	0.000342691694733288	0.0427477779538932	XM_039095267	NA	NA	NA
XM_039095350.1	107.789746650781	0.60846937031004	0.142701904093088	4.26391907085639	2.00872223618747e-05	0.00634908238047708	XM_039095350	NA	NA	NA
XM_039095441.1	16.6323492309057	7.55340362762002	1.65357510948353	4.56792291097028	4.9258111635165e-06	0.00228596731726559	XM_039095441	NA	NA	NA
XM_039095579.1	5.09986266106753	5.8371014498235	1.65221339766787	3.53289802519619	0.000411030982848565	0.0475933182001722	XM_039095579	NA	NA	NA
XM_039096050.1	34.8286333092273	0.884264920088689	0.228065286328997	3.87724468866816	0.000105646095792956	0.0197998391198631	XM_039096050	NA	NA	NA
XM_039096631.1	37.367203094069	8.13778381954579	1.79513421215975	4.53324534980319	5.80842809668226e-06	0.00256469203527958	XM_039096631	NA	NA	NA
XM_039097331.1	1851.7658938595	0.628899592074489	0.17851100064679	3.5230298961735	0.000426643231707789	0.0482216637364972	XM_039097331	NA	NA	NA
XM_039097833.1	6.25629925342442	6.13814748239702	1.67426535349477	3.66617362629202	0.000246206793890729	0.0345244509975216	XM_039097833	NA	NA	NA
XM_039098175.1	212.337642642854	1.07868108115516	0.284714192072001	3.78864528425887	0.000151471003245534	0.0246030984549427	XM_039098175	NA	NA	NA
XM_039098359.1	15.3891063158282	5.26269626405745	1.44151261846139	3.65081525937292	0.00026140922336575	0.0359662186519738	XM_039098359	NA	NA	NA
XM_039100039.1	1691.72953890032	0.615260390002937	0.163233726721899	3.76919894165716	0.000163772316305904	0.0258863993673921	XM_039100039	NA	NA	NA
XM_039100051.1	12.205351758812	7.09484561665931	1.40567259930981	5.04729594938601	4.48106945064924e-07	0.000319543969582029	XM_039100051	NA	NA	NA
XM_039101059.1	64.7147862253654	0.824105333227115	0.228859979385287	3.6009150024423	0.000317099239214941	0.0408415438631155	XM_039101059	NA	NA	NA
XM_039101469.1	63.6226556108318	8.32745626308981	1.59713842157725	5.21398530683774	1.8482611413932e-07	0.0001637503363361	XM_039101469	NA	NA	NA
XM_039101903.1	21.0175890591915	7.88909024052653	2.01890268573704	3.90761293065816	9.32124771719424e-05	0.0180480344044774	XM_039101903	NA	NA	NA
XM_039102084.1	10.9679890987323	6.94575345843099	1.68312329170739	4.12670509204652	3.6799781711004e-05	0.00952137360959843	XM_039102084	NA	NA	NA
XM_039102502.1	4.91148234643786	5.79005371478475	1.56225579588248	3.70621362394376	0.000210380869709043	0.0307690984272927	XM_039102502	NA	NA	NA
XM_039102849.1	6.6964073668772	3.71674269532831	0.982332844304758	3.78358793241696	0.00015458367563362	0.0249699609088406	XM_039102849	NA	NA	NA
XM_039103206.1	251.317868436202	0.796529417040928	0.225641725042885	3.53006261093573	0.000415461335564398	0.04760339530241	XM_039103206	NA	NA	NA
XM_039103248.1	18.9467039284958	7.74065137010411	1.76365408785534	4.38898501889165	1.13880913086716e-05	0.00416192031989539	XM_039103248	NA	NA	NA
XM_039103371.1	451.327937236781	0.63278374155039	0.115568237896051	5.47541221593733	4.36494307474389e-08	4.47781897109779e-05	XM_039103371	NA	NA	NA
XM_039104731.1	9.84748167151482	6.79708955414626	1.71994952470293	3.95191222563364	7.75291794786213e-05	0.0158511931497654	XM_039104731	NA	NA	NA
XM_039105326.1	33.5626340083015	8.56547914261209	1.09474569539797	7.82417248007383	5.1100706345248e-15	1.14277097648051e-10	XM_039105326	NA	NA	NA
XM_039105763.1	16.0699434139679	7.501039790695	1.87676981639704	3.99678198421544	6.42093851684956e-05	0.0137798271892454	XM_039105763	NA	NA	NA
XM_039106245.1	16.3754995532038	7.53003321942591	1.70667035866035	4.41211929486875	1.023636829083e-05	0.00386168644798705	XM_039106245	NA	NA	NA
XM_039106325.1	140.395536975838	1.48493353248204	0.393691033549338	3.77182461864718	0.000162058149826616	0.0258206764385874	XM_039106325	NA	NA	NA
XM_039107431.1	97.0715225110568	2.10495384143882	0.425226392239596	4.95019566013384	7.41389085540458e-07	0.000466150380514976	XM_039107431	NA	NA	NA
XM_039108441.1	7.44313070158273	6.3919474549541	1.61620959781881	3.95490007210729	7.65666473528814e-05	0.015806122754124	XM_039108441	NA	NA	NA
XM_039109069.1	106.660600069243	1.53356709544928	0.409853882133236	3.74174105041352	0.000182749770807027	0.0279741102046338	XM_039109069	NA	NA	NA
XM_039109841.1	328.546087900617	1.15809177443519	0.326226930606908	3.54995760859071	0.000385293188514528	0.0460149861972253	XM_039109841	NA	NA	NA
XM_039110073.1	5.64483607541997	5.99181479692028	1.5896473190921	3.76927304878067	0.000163723702595563	0.0258863993673921	XM_039110073	NA	NA	NA
XM_039110661.1	51.9876577467379	0.729933803578285	0.174118352919548	4.19217039065121	2.76298346551093e-05	0.00799815322585575	XM_039110661	NA	NA	NA
