"TXNAME"	"GENEID"
"ENSRNOT00000020015"	"ENSRNOG00000014907"
"ENSRNOT00000087422"	"ENSRNOG00000058612"
"ENSRNOT00000091657"	"ENSRNOG00000055971"
"ENSRNOT00000104121"	"ENSRNOG00000066571"
"ENSRNOT00000094565"	"ENSRNOG00000069106"
"ENSRNOT00000107883"	"ENSRNOG00000069106"
"ENSRNOT00000095178"	"ENSRNOG00000069106"
"ENSRNOT00000101685"	"ENSRNOG00000069106"
"ENSRNOT00000096345"	"ENSRNOG00000069014"
"ENSRNOT00000014917"	"ENSRNOG00000011134"
"ENSRNOT00000102071"	"ENSRNOG00000011134"
"ENSRNOT00000079138"	"ENSRNOG00000011134"
"ENSRNOT00000116682"	"ENSRNOG00000063671"
"ENSRNOT00000116095"	"ENSRNOG00000063903"
"ENSRNOT00000075481"	"ENSRNOG00000048904"
"ENSRNOT00000118212"	"ENSRNOG00000011720"
"ENSRNOT00000107555"	"ENSRNOG00000011720"
"ENSRNOT00000118227"	"ENSRNOG00000011720"
"ENSRNOT00000061404"	"ENSRNOG00000011720"
"ENSRNOT00000044222"	"ENSRNOG00000033517"
"ENSRNOT00000117886"	"ENSRNOG00000047783"
"ENSRNOT00000070858"	"ENSRNOG00000047783"
"ENSRNOT00000117712"	"ENSRNOG00000047783"
"ENSRNOT00000111415"	"ENSRNOG00000047783"
"ENSRNOT00000081762"	"ENSRNOG00000053931"
"ENSRNOT00000109335"	"ENSRNOG00000067501"
"ENSRNOT00000096819"	"ENSRNOG00000013202"
"ENSRNOT00000017617"	"ENSRNOG00000013202"
"ENSRNOT00000085121"	"ENSRNOG00000054921"
"ENSRNOT00000096990"	"ENSRNOG00000013202"
"ENSRNOT00000118097"	"ENSRNOG00000068720"
"ENSRNOT00000101448"	"ENSRNOG00000065720"
"ENSRNOT00000017911"	"ENSRNOG00000013304"
"ENSRNOT00000018695"	"ENSRNOG00000013791"
"ENSRNOT00000019519"	"ENSRNOG00000013994"
"ENSRNOT00000096243"	"ENSRNOG00000067329"
"ENSRNOT00000113786"	"ENSRNOG00000067329"
